RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS,Stat Name
1,1,46970,Jon Rahm,4.65,256,55,Birdie Average
2,-1,35450,Patrick Cantlay,4.64,260,56,Birdie Average
3,0,46046,Scottie Scheffler,4.47,322,72,Birdie Average
4,1,57366,Cameron Young,4.39,281,64,Birdie Average
5,1,29725,Tony Finau,4.38,289,66,Birdie Average
6,-2,32102,Rickie Fowler,4.34,330,76,Birdie Average
7,8,28237,Rory McIlroy,4.33,208,48,Birdie Average
8,0,33141,Keegan Bradley,4.31,276,64,Birdie Average
9,-2,39977,Max Homa,4.29,283,66,Birdie Average
10,3,46717,Viktor Hovland,4.25,306,72,Birdie Average
10,0,24502,Adam Scott,4.25,221,52,Birdie Average
12,-1,55789,Taylor Montgomery,4.24,331,78,Birdie Average
12,1,50525,Collin Morikawa,4.24,267,63,Birdie Average
14,-2,48081,Xander Schauffele,4.23,258,61,Birdie Average
15,0,51634,Sahith Theegala,4.21,354,84,Birdie Average
16,1,28089,Jason Day,4.2,269,64,Birdie Average
17,-8,45242,Kevin Yu,4.17,196,47,Birdie Average
18,5,34363,Tyrrell Hatton,4.16,258,62,Birdie Average
19,-1,39971,Sungjae Im,4.15,324,78,Birdie Average
20,-2,25493,Nick Taylor,4.14,294,71,Birdie Average
21,-1,51766,Wyndham Clark,4.13,355,86,Birdie Average
22,8,55182,Tom Kim,4.11,288,70,Birdie Average
23,-1,56630,Akshay Bhatia,4.1,213,52,Birdie Average
23,-3,47591,Eric Cole,4.1,369,90,Birdie Average
25,0,56762,Will Gordon,4.09,364,89,Birdie Average
25,4,57975,Harry Hall,4.09,327,80,Birdie Average
27,-2,35532,Tom Hoge,4.08,326,80,Birdie Average
28,-3,39997,Corey Conners,4.05,267,66,Birdie Average
29,2,28252,Seamus Power,4.04,291,72,Birdie Average
29,2,30927,Brendon Todd,4.04,307,76,Birdie Average
29,-4,54783,Dylan Wu,4.04,323,80,Birdie Average
32,2,32816,Satoshi Kodaira,4.03,157,39,Birdie Average
32,-9,33448,Justin Thomas,4.03,242,60,Birdie Average
34,4,33948,Byeong Hun An,4.02,358,89,Birdie Average
35,2,49964,Aaron Wise,4,172,43,Birdie Average
36,-1,54591,Ben Griffin,3.99,339,85,Birdie Average
37,18,30911,Tommy Fleetwood,3.98,231,58,Birdie Average
37,1,33413,Ben Martin,3.98,330,83,Birdie Average
37,3,51070,Vincent Norrman,3.98,251,63,Birdie Average
37,-6,22405,Justin Rose,3.98,231,58,Birdie Average
41,0,37455,Si Woo Kim,3.97,302,76,Birdie Average
41,0,28775,Nate Lashley,3.97,314,79,Birdie Average
43,-7,52374,Brandon Wu,3.96,329,83,Birdie Average
44,7,33653,Thomas Detry,3.95,288,73,Birdie Average
