RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS,Stat Name
1,0,46442,Maverick McNealy,1.058,48.662,46,SG: Putting
2,0,55789,Taylor Montgomery,0.942,64.058,68,SG: Putting
3,0,47993,Denny McCarthy,0.824,61.818,75,SG: Putting
4,0,37378,Min Woo Lee,0.802,24.051,30,SG: Putting
5,-1,37275,Sam Ryder,0.736,43.442,59,SG: Putting
6,-1,34363,Tyrrell Hatton,0.73,36.499,50,SG: Putting
7,-1,48081,Xander Schauffele,0.704,32.399,46,SG: Putting
8,-1,34256,Andrew Putnam,0.691,48.394,70,SG: Putting
9,-1,57975,Harry Hall,0.684,38.282,56,SG: Putting
10,-1,47504,Sam Burns,0.625,33.145,53,SG: Putting
11,-1,39977,Max Homa,0.624,35.574,57,SG: Putting
12,-1,50493,Justin Suh,0.623,49.866,80,SG: Putting
13,-1,40162,Justin Lower,0.557,33.974,61,SG: Putting
14,-1,34466,Peter Malnati,0.539,30.726,57,SG: Putting
15,-1,40098,Matt Fitzpatrick,0.521,25.511,49,SG: Putting
16,-1,28089,Jason Day,0.512,26.619,52,SG: Putting
17,-1,48119,Ben Taylor,0.504,31.261,62,SG: Putting
18,-1,34099,Harris English,0.503,33.67,67,SG: Putting
19,-1,33141,Keegan Bradley,0.499,27.467,55,SG: Putting
20,-1,47591,Eric Cole,0.497,36.786,74,SG: Putting
21,-1,35450,Patrick Cantlay,0.494,23.723,48,SG: Putting
22,-1,30927,Brendon Todd,0.49,32.849,67,SG: Putting
23,-1,46970,Jon Rahm,0.475,22.796,48,SG: Putting
24,-1,49947,Taylor Moore,0.473,30.735,65,SG: Putting
25,-1,28252,Seamus Power,0.471,26.874,57,SG: Putting
26,-1,29289,S.Y. Noh,0.465,17.223,37,SG: Putting
27,-1,51634,Sahith Theegala,0.462,32.327,70,SG: Putting
28,-1,49964,Aaron Wise,0.456,16.869,37,SG: Putting
29,-1,27349,Alex Noren,0.452,22.584,50,SG: Putting
30,-1,30911,Tommy Fleetwood,0.44,20.222,46,SG: Putting
31,-1,33597,Harry Higgs,0.433,18.201,42,SG: Putting
32,-1,32102,Rickie Fowler,0.423,27.47,65,SG: Putting
33,-1,25493,Nick Taylor,0.422,23.234,55,SG: Putting
34,-1,33399,Adam Hadwin,0.417,27.087,65,SG: Putting
34,-1,22405,Justin Rose,0.417,18.328,44,SG: Putting
36,-1,47347,Adam Schenk,0.41,31.551,77,SG: Putting
37,-1,24502,Adam Scott,0.396,18.234,46,SG: Putting
37,-1,40115,Adam Svensson,0.396,30.103,76,SG: Putting
39,-1,51766,Wyndham Clark,0.393,27.54,70,SG: Putting
40,-1,35449,Adam Long,0.375,24.356,65,SG: Putting
41,-1,22371,Aaron Baddeley,0.369,16.987,46,SG: Putting
42,-1,34563,Chesson Hadley,0.362,19.936,55,SG: Putting
43,-1,51997,Andrew Novak,0.348,17.043,49,SG: Putting
44,-1,47983,Chad Ramey,0.345,23.128,67,SG: Putting
45,-1,23983,Luke Donald,0.335,11.729,35,SG: Putting
46,-1,47128,Richy Werenski,0.328,16.727,51,SG: Putting
47,-1,35506,Mackenzie Hughes,0.326,16.3,50,SG: Putting
48,-1,27644,Brian Harman,0.311,18.639,60,SG: Putting
49,-1,39971,Sungjae Im,0.29,18.828,65,SG: Putting
50,-1,35879,Kelly Kraft,0.286,13.997,49,SG: Putting
51,-1,36699,Patrick Rodgers,0.257,17.201,67,SG: Putting
52,-1,50188,S.H. Kim,0.246,19.908,81,SG: Putting
53,-1,52513,Carson Young,0.245,14.202,58,SG: Putting
54,-1,30926,Chris Kirk,0.233,14.693,63,SG: Putting
55,-1,54591,Ben Griffin,0.231,15.461,67,SG: Putting
56,-1,49960,Sepp Straka,0.213,13.444,63,SG: Putting
57,-1,25632,Jimmy Walker,0.211,12.451,59,SG: Putting
58,-1,33653,Thomas Detry,0.197,10.236,52,SG: Putting
59,-1,39058,Lucas Herbert,0.193,6.547,34,SG: Putting
60,-1,23108,Matt Kuchar,0.191,11.452,60,SG: Putting
61,-1,32150,Michael Thompson,0.186,7.61,41,SG: Putting
62,-1,24024,Zach Johnson,0.181,9.229,51,SG: Putting
63,-1,32139,Danny Willett,0.176,8.614,49,SG: Putting
64,-1,29535,Brice Garnett,0.171,7.877,46,SG: Putting
65,-1,35461,Beau Hossler,0.169,11.143,66,SG: Putting
66,-1,39546,Keith Mitchell,0.163,9.967,61,SG: Putting
67,-1,29420,Billy Horschel,0.152,6.063,40,SG: Putting
68,-1,28420,Ryan Brehm,0.145,7.528,52,SG: Putting
69,-1,45522,Christiaan Bezuidenhout,0.131,8.116,62,SG: Putting
70,-1,34046,Jordan Spieth,0.13,6.262,48,SG: Putting
71,-1,46717,Viktor Hovland,0.122,6.582,54,SG: Putting
72,-1,57362,Austin Eckroat,0.119,6.785,57,SG: Putting
73,-1,28775,Nate Lashley,0.111,7.2,65,SG: Putting
74,-1,36801,Mark Hubbard,0.107,7.488,70,SG: Putting
75,-1,47079,Harrison Endycott,0.106,5.414,51,SG: Putting
76,-1,32333,Kevin Tway,0.105,6.592,63,SG: Putting
77,-1,31560,Brian Stuard,0.099,3.456,35,SG: Putting
77,-1,54783,Dylan Wu,0.099,5.969,60,SG: Putting
79,-1,49771,J.T. Poston,0.097,5.7,59,SG: Putting
80,-1,22056,Cameron Percy,0.096,2.689,28,SG: Putting
81,-1,53165,Doc Redman,0.095,4.364,46,SG: Putting
82,-1,32791,K.H. Lee,0.079,4.806,61,SG: Putting
82,-1,50095,Austin Smotherman,0.079,4.907,62,SG: Putting
84,-1,48117,Kurt Kitayama,0.067,2.901,43,SG: Putting
85,-1,55708,Hayden Buckley,0.061,3.289,54,SG: Putting
86,-1,29970,Dylan Frittelli,0.056,2.47,44,SG: Putting
87,-1,28237,Rory McIlroy,0.049,2.064,42,SG: Putting
88,-1,31646,Emiliano Grillo,0.043,2.934,68,SG: Putting
89,-1,39954,Cody Gribble,0.037,1.311,35,SG: Putting
90,-1,26476,Chez Reavie,0.034,2.444,71,SG: Putting
91,-1,34374,Erik Barnes,0.026,0.774,30,SG: Putting
92,-1,51349,Nico Echavarria,0.023,1.031,44,SG: Putting
93,-1,29725,Tony Finau,0.017,0.96,57,SG: Putting
94,-1,58967,Trevor Werbylo,0.012,0.533,44,SG: Putting
95,-1,48867,Matti Schmid,0.011,0.35,31,SG: Putting
96,-1,39975,Michael Kim,0.009,0.494,57,SG: Putting
97,-1,25818,Scott Piercy,0.002,0.087,52,SG: Putting
98,-1,54628,Lee Hodges,-0.007,-0.472,69,SG: Putting
98,-1,51890,Greyson Sigg,-0.007,-0.524,70,SG: Putting
98,-1,52374,Brandon Wu,-0.007,-0.478,64,SG: Putting
101,-1,46441,Robby Shelton,-0.01,-0.712,68,SG: Putting
102,-1,49453,Trevor Cone,-0.019,-0.817,44,SG: Putting
103,-1,40250,Taylor Pendrith,-0.027,-1.773,65,SG: Putting
104,-1,35532,Tom Hoge,-0.029,-1.854,63,SG: Putting
105,-1,33413,Ben Martin,-0.031,-1.926,63,SG: Putting
106,-1,35617,Martin Trainer,-0.034,-0.845,25,SG: Putting
107,-1,32757,Patton Kizzire,-0.037,-2.296,62,SG: Putting
108,-1,33410,Andrew Landry,-0.042,-1.975,47,SG: Putting
109,-1,34409,David Lingmerth,-0.043,-2.239,52,SG: Putting
110,-1,27095,Nick Watney,-0.047,-1.993,42,SG: Putting
111,-1,27214,Kevin Streelman,-0.048,-3.249,68,SG: Putting
112,-1,40058,Zac Blair,-0.062,-2.748,44,SG: Putting
113,-1,32839,Hideki Matsuyama,-0.063,-3.721,59,SG: Putting
114,-1,50525,Collin Morikawa,-0.065,-3.248,50,SG: Putting
115,-1,47988,Nick Hardy,-0.066,-4.199,64,SG: Putting
116,-1,36799,Stephan Jaeger,-0.071,-5.964,84,SG: Putting
117,-1,52375,Doug Ghim,-0.082,-4.516,55,SG: Putting
118,-1,55454,Carl Yuan,-0.083,-3.84,46,SG: Putting
119,-1,47995,Davis Riley,-0.084,-5.047,60,SG: Putting
120,-1,35901,Paul Haley II,-0.093,-5.031,54,SG: Putting
121,-1,25198,Francesco Molinari,-0.1,-3.491,35,SG: Putting
122,-1,48887,Matt Wallace,-0.113,-5.752,51,SG: Putting
123,-1,26596,Ryan Moore,-0.13,-5.571,43,SG: Putting
