RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,Stat Name
1,0,46046,Scottie Scheffler,68.473,4905,25.068,72,Scoring Average
2,0,46970,Jon Rahm,68.788,3775,8.354,55,Scoring Average
3,0,28237,Rory McIlroy,68.948,3326,-16.505,48,Scoring Average
4,1,48081,Xander Schauffele,69.264,4226,-0.894,61,Scoring Average
5,-1,35450,Patrick Cantlay,69.276,3861,18.435,56,Scoring Average
6,1,34363,Tyrrell Hatton,69.301,4305,-8.361,62,Scoring Average
7,1,30911,Tommy Fleetwood,69.346,4037,-14.91,58,Scoring Average
8,-2,32102,Rickie Fowler,69.369,5258,14.072,76,Scoring Average
9,0,46717,Viktor Hovland,69.453,4990,10.582,72,Scoring Average
10,1,51766,Wyndham Clark,69.596,5968,17.244,86,Scoring Average
11,-1,22405,Justin Rose,69.652,4044,-4.18,58,Scoring Average
12,0,50525,Collin Morikawa,69.659,4379,9.512,63,Scoring Average
13,2,39977,Max Homa,69.703,4584,16.368,66,Scoring Average
14,-1,47993,Denny McCarthy,69.708,5829,26.47,84,Scoring Average
15,0,37378,Min Woo Lee,69.715,2522,-12.254,36,Scoring Average
16,-2,29725,Tony Finau,69.753,4583,20.712,66,Scoring Average
17,-1,28089,Jason Day,69.816,4445,23.212,64,Scoring Average
18,-1,47591,Eric Cole,70.043,6266,37.843,90,Scoring Average
19,-1,39971,Sungjae Im,70.068,5430,35.265,78,Scoring Average
20,5,33204,Shane Lowry,70.079,3941,-16.552,56,Scoring Average
21,-2,33141,Keegan Bradley,70.092,4472,13.897,64,Scoring Average
22,7,55182,Tom Kim,70.097,4862,44.817,70,Scoring Average
23,-1,34256,Andrew Putnam,70.101,6063,35.821,87,Scoring Average
24,-3,37455,Si Woo Kim,70.129,5321,8.839,76,Scoring Average
25,-5,34046,Jordan Spieth,70.153,3934,-5.458,56,Scoring Average
26,-2,34098,Russell Henley,70.157,4332,17.736,62,Scoring Average
27,-4,40098,Matt Fitzpatrick,70.167,3998,1.522,57,Scoring Average
28,2,39997,Corey Conners,70.201,4614,19.261,66,Scoring Average
29,-3,36799,Stephan Jaeger,70.208,6545,54.595,94,Scoring Average
30,-3,32839,Hideki Matsuyama,70.214,4758,16.57,68,Scoring Average
31,0,27644,Brian Harman,70.216,5078,47.802,73,Scoring Average
32,-4,36699,Patrick Rodgers,70.234,6089,21.335,87,Scoring Average
33,-1,25493,Nick Taylor,70.236,4958,28.736,71,Scoring Average
34,3,54591,Ben Griffin,70.335,5938,40.481,85,Scoring Average
35,-1,30926,Chris Kirk,70.356,5176,30.308,74,Scoring Average
36,-3,45242,Kevin Yu,70.386,3251,57.157,47,Scoring Average
37,10,33948,Byeong Hun An,70.392,6217,47.845,89,Scoring Average
38,-3,46442,Maverick McNealy,70.398,3997,15.674,57,Scoring Average
39,-3,51634,Sahith Theegala,70.402,5892,21.797,84,Scoring Average
40,-2,47347,Adam Schenk,70.411,6377,30.419,91,Scoring Average
41,-2,33399,Adam Hadwin,70.413,5040,29.758,72,Scoring Average
42,-2,24502,Adam Scott,70.429,3646,16.305,52,Scoring Average
43,9,47504,Sam Burns,70.448,4433,5.196,63,Scoring Average
44,-2,49947,Taylor Moore,70.467,5552,14.856,79,Scoring Average
45,-1,23108,Matt Kuchar,70.477,4697,24.958,67,Scoring Average
46,5,48117,Kurt Kitayama,70.486,3956,-8.773,56,Scoring Average
47,-4,55789,Taylor Montgomery,70.496,5467,31.659,78,Scoring Average
48,-3,56630,Akshay Bhatia,70.497,3639,26.852,52,Scoring Average
48,-7,46340,Alex Smalley,70.497,6310,34.734,90,Scoring Average
50,-4,46414,Aaron Rai,70.499,6084,49.392,87,Scoring Average
51,-3,30927,Brendon Todd,70.528,5316,44.109,76,Scoring Average
52,8,31323,Gary Woodland,70.534,5160,-11.049,73,Scoring Average
53,-4,55708,Hayden Buckley,70.537,4496,18.346,64,Scoring Average
54,-4,36801,Mark Hubbard,70.542,6030,36.634,86,Scoring Average
55,-1,34099,Harris English,70.571,5560,15.112,79,Scoring Average
56,-1,34255,Joseph Bramlett,70.58,5600,46.425,80,Scoring Average
57,-1,28252,Seamus Power,70.585,5040,42.112,72,Scoring Average
58,5,33653,Thomas Detry,70.587,5127,25.816,73,Scoring Average
59,-6,54783,Dylan Wu,70.595,5599,48.596,80,Scoring Average
60,-1,39546,Keith Mitchell,70.607,5211,13.898,74,Scoring Average
61,-4,35461,Beau Hossler,70.608,5614,34.602,80,Scoring Average
62,-4,32791,K.H. Lee,70.624,5540,39.302,79,Scoring Average
63,1,57362,Austin Eckroat,70.631,5460,49.24,78,Scoring Average
64,-3,31646,Emiliano Grillo,70.638,5835,27.937,83,Scoring Average
