RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,Stat Name
1,0,46046,Scottie Scheffler,2.638,152.989,162.672,-9.681,58,Strokes Gained
2,0,46970,Jon Rahm,2.244,107.719,84.925,22.796,48,Strokes Gained
3,0,34363,Tyrrell Hatton,2.091,104.545,68.049,36.499,50,Strokes Gained
4,0,28237,Rory McIlroy,2.089,87.72,85.658,2.064,42,Strokes Gained
5,0,35450,Patrick Cantlay,2.061,98.95,75.229,23.723,48,Strokes Gained
6,0,48081,Xander Schauffele,1.993,91.66,59.265,32.399,46,Strokes Gained
7,0,30911,Tommy Fleetwood,1.85,85.098,64.881,20.222,46,Strokes Gained
8,0,32102,Rickie Fowler,1.804,117.282,89.817,27.47,65,Strokes Gained
9,0,39977,Max Homa,1.678,95.669,60.097,35.574,57,Strokes Gained
10,0,50525,Collin Morikawa,1.582,79.119,82.37,-3.248,50,Strokes Gained
11,0,29725,Tony Finau,1.498,85.406,84.449,0.96,57,Strokes Gained
12,0,28089,Jason Day,1.475,76.706,50.088,26.619,52,Strokes Gained
13,0,46717,Viktor Hovland,1.448,78.165,71.587,6.582,54,Strokes Gained
14,0,51766,Wyndham Clark,1.401,98.068,70.533,27.54,70,Strokes Gained
15,0,22405,Justin Rose,1.399,61.55,43.226,18.328,44,Strokes Gained
16,0,47993,Denny McCarthy,1.198,89.822,28.009,61.818,75,Strokes Gained
17,0,39971,Sungjae Im,1.154,75.031,56.206,18.828,65,Strokes Gained
18,0,40098,Matt Fitzpatrick,1.145,56.124,30.616,25.511,49,Strokes Gained
19,0,33141,Keegan Bradley,1.078,59.293,31.829,27.467,55,Strokes Gained
20,0,32839,Hideki Matsuyama,1.052,62.06,65.781,-3.721,59,Strokes Gained
21,0,37378,Min Woo Lee,1.048,31.447,7.399,24.051,30,Strokes Gained
22,-1,34046,Jordan Spieth,1.044,50.094,43.833,6.262,48,Strokes Gained
23,-1,39997,Corey Conners,1.024,57.36,65.861,-8.499,56,Strokes Gained
24,-1,30926,Chris Kirk,0.98,61.716,47.028,14.693,63,Strokes Gained
25,-1,37455,Si Woo Kim,0.979,63.644,73.112,-9.465,65,Strokes Gained
26,-1,47591,Eric Cole,0.949,70.198,33.413,36.786,74,Strokes Gained
27,-1,25493,Nick Taylor,0.942,51.785,28.554,23.234,55,Strokes Gained
28,-1,24502,Adam Scott,0.843,38.768,20.536,18.234,46,Strokes Gained
29,-1,55182,Tom Kim,0.834,46.676,55.663,-8.985,56,Strokes Gained
30,-1,33399,Adam Hadwin,0.821,53.346,26.263,27.087,65,Strokes Gained
31,-1,33204,Shane Lowry,0.819,39.32,51.433,-12.109,48,Strokes Gained
32,-1,47347,Adam Schenk,0.809,62.29,30.743,31.551,77,Strokes Gained
33,-1,34256,Andrew Putnam,0.791,55.362,6.972,48.394,70,Strokes Gained
34,-1,36799,Stephan Jaeger,0.778,65.326,71.294,-5.964,84,Strokes Gained
35,-1,47504,Sam Burns,0.761,40.344,7.204,33.145,53,Strokes Gained
36,-1,45242,Kevin Yu,0.752,24.823,38.49,-13.668,33,Strokes Gained
37,-1,49947,Taylor Moore,0.749,48.688,17.956,30.735,65,Strokes Gained
37,-1,30927,Brendon Todd,0.749,50.153,17.307,32.849,67,Strokes Gained
39,-1,36699,Patrick Rodgers,0.744,49.877,32.682,17.201,67,Strokes Gained
40,-1,36801,Mark Hubbard,0.727,50.877,43.393,7.488,70,Strokes Gained
40,-1,49960,Sepp Straka,0.727,45.772,32.331,13.444,63,Strokes Gained
42,-1,27644,Brian Harman,0.703,42.184,23.549,18.639,60,Strokes Gained
43,-1,33448,Justin Thomas,0.687,36.414,50.324,-13.906,53,Strokes Gained
44,-1,46414,Aaron Rai,0.649,46.079,66.846,-20.762,71,Strokes Gained
45,-1,57362,Austin Eckroat,0.641,36.554,29.773,6.785,57,Strokes Gained
46,-1,46340,Alex Smalley,0.63,46.653,63.924,-17.266,74,Strokes Gained
47,-1,39546,Keith Mitchell,0.629,38.339,28.374,9.967,61,Strokes Gained
48,-1,33948,Byeong Hun An,0.622,45.398,62.441,-17.04,73,Strokes Gained
48,-1,23108,Matt Kuchar,0.622,37.302,25.852,11.452,60,Strokes Gained
50,-1,51634,Sahith Theegala,0.615,43.037,10.714,32.327,70,Strokes Gained
51,-1,54783,Dylan Wu,0.609,36.536,30.572,5.969,60,Strokes Gained
52,-1,34098,Russell Henley,0.597,32.212,48.965,-16.751,54,Strokes Gained
53,-1,54591,Ben Griffin,0.585,39.194,23.738,15.461,67,Strokes Gained
54,-1,40115,Adam Svensson,0.571,43.364,13.264,30.103,76,Strokes Gained
55,-1,27349,Alex Noren,0.559,27.969,5.387,22.584,50,Strokes Gained
55,-1,51997,Andrew Novak,0.559,27.393,10.352,17.043,49,Strokes Gained
57,-1,55789,Taylor Montgomery,0.548,37.272,-26.783,64.058,68,Strokes Gained
58,-1,34255,Joseph Bramlett,0.485,31.996,51.871,-19.871,66,Strokes Gained
59,-1,34099,Harris English,0.481,32.204,-1.461,33.67,67,Strokes Gained
60,-1,31646,Emiliano Grillo,0.465,31.625,28.696,2.934,68,Strokes Gained
61,-1,32791,K.H. Lee,0.42,25.644,20.842,4.806,61,Strokes Gained
62,-1,37275,Sam Ryder,0.417,24.617,-18.823,43.442,59,Strokes Gained
63,-1,50188,S.H. Kim,0.409,33.152,13.249,19.908,81,Strokes Gained
64,-1,28252,Seamus Power,0.404,23.034,-3.839,26.874,57,Strokes Gained
65,-1,39324,J.J. Spaun,0.4,23.972,37.005,-13.032,60,Strokes Gained
66,-1,57366,Cameron Young,0.395,21.351,46.814,-25.46,54,Strokes Gained
67,-1,45157,Cam Davis,0.381,20.566,38.026,-17.457,54,Strokes Gained
68,-1,35532,Tom Hoge,0.379,23.852,25.707,-1.854,63,Strokes Gained
69,-1,28775,Nate Lashley,0.373,24.242,17.046,7.2,65,Strokes Gained
70,-1,48117,Kurt Kitayama,0.365,15.695,12.796,2.901,43,Strokes Gained
71,-1,51890,Greyson Sigg,0.363,25.383,25.911,-0.524,70,Strokes Gained
72,-1,31323,Gary Woodland,0.361,23.094,63.335,-40.236,64,Strokes Gained
73,-1,22371,Aaron Baddeley,0.358,16.472,-0.514,16.987,46,Strokes Gained
74,-1,34374,Erik Barnes,0.352,10.56,9.788,0.774,30,Strokes Gained
75,-1,46442,Maverick McNealy,0.316,14.552,-34.109,48.662,46,Strokes Gained
76,-1,57975,Harry Hall,0.302,16.885,-21.395,38.282,56,Strokes Gained
76,-1,54628,Lee Hodges,0.302,20.854,21.331,-0.472,69,Strokes Gained
78,-1,33653,Thomas Detry,0.296,15.391,5.157,10.236,52,Strokes Gained
79,-1,35461,Beau Hossler,0.274,18.103,6.962,11.143,66,Strokes Gained
80,-1,52375,Doug Ghim,0.268,14.731,19.249,-4.516,55,Strokes Gained
80,-1,55893,Sam Stevens,0.268,16.631,32.708,-16.072,62,Strokes Gained
82,-1,55708,Hayden Buckley,0.261,14.102,10.817,3.289,54,Strokes Gained
83,-1,39975,Michael Kim,0.242,13.805,13.314,0.494,57,Strokes Gained
84,-1,52374,Brandon Wu,0.238,15.25,15.732,-0.478,64,Strokes Gained
85,-1,23320,Ryan Palmer,0.187,9.703,35.236,-25.531,52,Strokes Gained
86,-1,45522,Christiaan Bezuidenhout,0.186,11.551,3.439,8.116,62,Strokes Gained
87,-1,27214,Kevin Streelman,0.176,11.979,15.233,-3.249,68,Strokes Gained
88,-1,49771,J.T. Poston,0.162,9.549,3.851,5.7,59,Strokes Gained
89,-1,46441,Robby Shelton,0.144,9.768,10.484,-0.712,68,Strokes Gained
90,-1,50493,Justin Suh,0.138,11.026,-38.834,49.866,80,Strokes Gained
91,-1,48119,Ben Taylor,0.135,8.394,-22.862,31.261,62,Strokes Gained
92,-1,32150,Michael Thompson,0.131,5.377,-2.23,7.61,41,Strokes Gained
93,-1,32816,Satoshi Kodaira,0.117,3.515,10.341,-6.823,30,Strokes Gained
94,-1,33413,Ben Martin,0.114,7.17,9.1,-1.926,63,Strokes Gained
95,-1,51070,Vincent Norrman,0.107,5.014,20.002,-14.985,47,Strokes Gained
96,-1,32139,Danny Willett,0.104,5.085,-3.525,8.614,49,Strokes Gained
97,-1,36871,Matt NeSmith,0.082,4.972,14.654,-9.679,61,Strokes Gained
98,-1,35506,Mackenzie Hughes,0.079,3.931,-12.367,16.3,50,Strokes Gained
98,-1,25818,Scott Piercy,0.079,4.102,4.018,0.087,52,Strokes Gained
100,-1,32366,Kevin Chappell,0.076,1.757,10.372,-8.614,23,Strokes Gained
101,-1,56630,Akshay Bhatia,0.065,2.554,22.814,-20.255,39,Strokes Gained
102,-1,47988,Nick Hardy,0.063,4.001,8.204,-4.199,64,Strokes Gained
103,-1,56762,Will Gordon,0.046,3.326,13.437,-10.107,72,Strokes Gained
104,-1,40162,Justin Lower,0.041,2.479,-31.491,33.974,61,Strokes Gained
105,-1,40250,Taylor Pendrith,0.023,1.517,3.292,-1.773,65,Strokes Gained
105,-1,22056,Cameron Percy,0.023,0.633,-2.053,2.689,28,Strokes Gained
107,-1,58168,Davis Thompson,0.015,0.957,10.412,-9.454,66,Strokes Gained
108,-1,54421,Garrick Higgo,0.005,0.356,14.786,-14.426,70,Strokes Gained
109,-1,40058,Zac Blair,-0.008,-0.342,2.409,-2.748,44,Strokes Gained
